survey_id,variable,category,frequency,share,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,4.0,18059712.0,0.13785858373786428,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,5.0,25914289.0,0.19781639818584676,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,<MISSING>,7049089.0,0.05380913196080635,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,1.0,8836081.0,0.0674501128508058,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,2.0,17639004.0,0.13464711452688297,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,3.0,15609250.0,0.11915301297220343,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,4.0,37894298.0,0.28926564576559044,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,5.0,18059712.0,0.13785858373786428,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,6.0,3571540.0,0.0272633055368287,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,7.0,22342749.0,0.17055309264901805,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat7,<MISSING>,7049089.0,0.05380913196080635,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,0.0,8836081.0,0.0674501128508058,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,1.0,2693495.0,0.02056076010542243,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,10.0,2777755.0,0.02120395775252513,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,11.0,4337217.0,0.03310809125770048,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,12.0,20062283.0,0.15314518420494364,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,13.0,1687025.0,0.0128778840565326,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,14.0,1828056.0,0.013954442415997841,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,15.0,2227483.0,0.01700346338192819,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,16.0,8521362.0,0.06504770933432685,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,17.0,7070825.0,0.053975053442617694,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,18.0,129916.0,0.0009917121471753466,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,19.0,1485087.0,0.011336392880878367,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,2.0,3878754.0,0.029608419730479424,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,20.0,74409.0,0.0005680001628680869,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,21.0,8757.0,6.684644903487262e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,22.0,1557.0,1.1885339859232234e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,3.0,4602750.0,0.03513503406363594,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,4.0,3327710.0,0.02540203230762087,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,5.0,3123877.0,0.023846075673371107,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,6.0,15609250.0,0.11915301297220343,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,7.0,2744357.0,0.020949014540824016,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,8.0,3547356.0,0.027078697277897634,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,9.0,25314693.0,0.19323938968344714,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educy,<MISSING>,7111668.0,0.054286827967903906,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,emp_ppal,0,70844508.0,0.5407906581503512,yes
