survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p75,372.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p90,723.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p95,1022.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p99,2114.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,mean_w,835.2935958788878,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,sd_w,839.9372610928216,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p01_w,52.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p05_w,104.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p10_w,144.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p25_w,253.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p50_w,580.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p75_w,1043.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p90_w,1998.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p95_w,2628.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p99_w,3803.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,mean,1632655.375,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,sd,925814.5625,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,max,3261264.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,min,100094.0,no
